galaxy name	Chi^2/df	rs	c200	v200	data points	galaxy_type
CamB	0.002527789260020208	5.805993951537918	0.07586443981829856	5.4887150685717385	9	Im
D512-2	0.016952166124003312	1.352908031879742	12.504733937961396	30.578132684834785	4	Im
D564-8	0.0018172899789385053	1.6893065668249991	0.11124591947480304	3.5157799564174494	6	Im
D631-7	0.01927632150087316	3.6993657875669825	0.02493399214550115	1.902320789549551	16	Im
DDO064	0.21649271690604088	1.87822142765023	38.78185176074041	32.74117221294543	14	Im
DDO154	0.020874918459992554	2.2028122624619515	0.033583221406129654	1.9864422574403362	12	Im
DDO161	0.16944918320537555	4.6697368809234066	40.77271395054212	38.34015913822879	31	Im
DDO168	0.08943196995509414	2.18211141436713	42.94781464017913	33.55726428726762	10	Im
DDO170	0.008990425497739115	4.070564932376695	60.635688537268784	30.953018811871768	8	Im
ESO079-G014	1.0875621068172363	7.215009832422473	0.03855633662426716	8.661283440195778	15	Sbc
ESO116-G012	0.2423376387066278	2.8765616956905347	19.205333330518897	81.0619368494264	15	Sd
ESO444-G084	0.0826258776066735	1.2770074246952705	0.09216808602454946	6.879025042402166	7	Im
ESO563-G021	0.4916909658585743	7.46101770506185	0.020062444982825087	7.987516380813654	30	Sbc
F561-1	0.019072442212925565	3.285163855178547	69.5978566477984	24.574106185195042	6	Sm
F563-1	0.43523507246784654	3.992892454428646	0.013854352469046842	1.8365309368594736	17	Sm
F563-V1	0.07921814075119754	2.777256670264501	0.057703991728158294	2.0691964600165385	6	Im
F563-V2	0.1600842610913226	2.6786453763652744	0.0065324904377546626	0.961209397615876	10	Im
F565-V2	0.024285865429337607	5.5931883319498645	58.89506685481044	46.61795382871091	7	Im
F567-2	0.0895495776529856	3.1517756871824423	72.11933689258315	24.308055622279316	5	Sm
F568-1	0.04255641597150192	4.19897720042623	0.08538213331755856	13.962514165267839	12	Sc
F568-3	0.20499613687171717	5.699912820948227	0.012500449551739682	1.7281212015811804	18	Sd
F568-V1	0.03724171466225391	3.067828564534219	21.154770573678615	82.01472361897031	15	Sd
F571-8	0.44708512485409496	4.878668455625814	0.12500214750143507	20.817008465894645	13	Sc
F571-V1	0.019935856368181095	5.141616481135543	52.61844971598897	45.5815994575867	7	Sd
F574-1	0.010687506200819211	3.508098802166826	21.950487748098055	69.13364463547329	14	Sd
F574-2	0.0011007152133000408	9.514270381637608	0.017612971133426438	1.0675627092363158	5	Sm
F579-V1	0.253584373447447	1.9487089918757303	0.029889830288439362	4.167806317061299	14	Sc
F583-1	0.21983519545311436	4.805538876888755	0.02304050633593323	2.4586469847840755	25	Sm
F583-4	0.15864129839161098	2.3589021901983886	35.71329948908896	38.90395621299766	12	Sc
IC2574	0.06364821486202399	9.150629125997897	0.041522678003926776	4.136158958951323	34	Sm
IC4202	0.20974793046006018	4.506498772132425	0.03143128247443057	9.575665315712167	32	Sbc
KK98-251	0.04522528167267775	2.825403127380077	0.09717123398269299	5.3181390073238495	15	Im
NGC0024	0.06949911941033347	1.3627575091435267	9.215127572575206	99.39339568699856	29	Sc
NGC0055	0.025395991808089803	4.730186222857923	0.09653117968324847	10.198161975098026	21	Sm
NGC0100	0.01905179436766189	3.488313630231	24.205558538036925	60.586481623241156	21	Scd
NGC0247	0.29240458538642466	4.837674241611085	18.690221373151306	75.94395736455068	26	Sd
NGC0289	1.8526508868710265	2.8277406487112495	0.055401248544396424	13.989318963542036	28	Sbc
NGC0300	0.06661384648589437	3.0165588105914165	0.04262987250753955	4.803540910224735	25	Sd
NGC0801	0.9679431785977101	2.510875152302937	0.013837003383322121	4.611392782609159	13	Sc
NGC0891	1.411065588382645	1.1447363824970187	0.046147842227824434	13.854064817878749	18	Sb
NGC1003	0.3451408026544247	4.731775267824335	18.460761451968793	80.36858787181652	36	Scd
NGC1090	0.06615606031734876	3.6937302157016476	0.023362155452272645	4.984471258508154	24	Sbc
NGC1705	0.31188030386030147	0.4926362723841203	0.13055856516603218	12.028219101252652	14	BCD
NGC2366	0.06415247553923785	2.0897798813089583	40.81452258925083	30.384033203965913	26	Im
NGC2403	1.0198360182073105	2.4052582244232776	0.05128824824611477	8.401109518533286	73	Scd
NGC2683	0.20906269423981225	1.6833361281995796	0.02553336382739604	6.516861857960879	11	Sb
NGC2841	0.5254151153046022	3.4159372115235964	0.01162362772439924	4.810826930472458	50	Sb
NGC2903	0.229802872812171	1.6412838250690365	0.010246964121854609	2.755189534962812	34	Sbc
NGC2915	0.13749647142124177	1.8686593376813168	21.80327008883233	59.22817922949357	30	BCD
NGC2955	1.3967245407611864	2.1283019167614015	0.010697006189531722	3.7246360066719264	24	Sb
NGC2976	0.07479536875941614	2.4462558131943055	0.06485114199633642	9.831572048409914	27	Sc
NGC2998	2.8426315359511825	2.6485624226405666	0.05189701059116941	15.065196250704748	13	Sc
NGC3109	0.014746054718737573	4.107898959263169	37.97470519351366	43.869932567409684	25	Sm
NGC3198	0.24022999501148035	4.4173217130954425	38.10917527124489	94.32230929092847	43	Sc
NGC3521	0.4475195958250443	0.9951882552585184	0.008697282367419632	2.4245615698736804	41	Sbc
NGC3726	0.2516675055259863	5.361745147231469	0.036516623648267174	7.449513253383154	12	Sc
NGC3741	0.37379204803707006	2.345835969144564	0.1143878672035688	6.64610369346022	21	Im
NGC3769	0.3455233482606536	2.910741384152368	0.04786614813143176	7.509527361784462	12	Sb
NGC3877	0.21229815720464407	3.338134888272938	37.38257315348817	102.75595695163132	13	Sc
NGC3893	0.058583312445527294	1.9901971723072844	0.026777218370878	6.383053392375463	10	Sc
NGC3917	0.11892468707065203	4.480174855309397	32.794573215143274	86.80871484834435	17	Scd
NGC3949	0.03731417517588818	1.9064678995494349	0.05315422521582103	10.638073295920222	7	Sbc
NGC3953	0.013063865922357467	3.2022341695145693	0.01634518110661967	4.513760886933273	8	Sbc
NGC3972	0.0557404345645425	3.380693607429565	28.130399571403824	86.80645457958276	10	Sbc
NGC3992	0.06500243750648241	5.131072997393411	0.046383449092969535	15.139521722060548	9	Sbc
NGC4010	0.26252420586044756	4.609276201125221	0.016118910602887487	2.61839247663376	12	Sd
NGC4013	0.32455360802751176	2.678733804615095	0.049122591024223575	11.497557700470601	36	Sb
NGC4051	0.7628790965617576	2.3374586828972648	0.07252414171947331	13.542772061673384	7	Sbc
NGC4068	0.00954857319593596	4.071835655576367	51.83754458448352	40.836298024711525	6	Im
NGC4085	0.11819923067820272	2.8032694956209525	24.114166611120147	97.40020160602185	7	Sc
NGC4088	0.08608375274134258	3.3906765647607857	0.01904862034816986	4.16714604065273	12	Sbc
NGC4100	0.20898583335790627	2.779402927923939	0.04893236943133583	11.09818119287442	24	Sbc
NGC4138	0.17852819804311637	1.1443996570470485	0.01895483556279968	4.396738017068456	7	S0
NGC4157	0.15454961037119064	3.2381534529566087	0.010886832190699166	2.6637106026860393	17	Sb
NGC4183	0.15522333064797153	3.2275281191687233	24.67322974812946	76.62525672840894	23	Scd
NGC4214	0.7782013564300436	0.6230935158703527	0.045705463969179454	4.617042163266881	14	Im
NGC4217	0.17024735957709372	2.8592781847095687	0.1543132526378586	33.91105231325322	19	Sb
NGC4389	0.04041829481052969	5.366124766749882	39.96342993921059	81.90140828546762	6	Sbc
NGC4559	0.24244224332549197	3.3687906844584323	23.700280982347376	84.3009240930367	32	Scd
NGC5005	1.830490095467743	0.9890750790395578	0.0402205843625377	13.630310470025144	18	Sbc
NGC5033	1.9662767648180886	1.6875428044214975	0.03835178397128951	12.046682009615319	22	Sc
NGC5055	1.0448577346923664	2.3285065442827846	0.016578090781919397	4.543796807640499	28	Sbc
NGC5371	1.6740345640116028	2.5244904251943447	0.06602585129229276	20.362249293025123	19	Sbc
NGC5585	0.8952119778407784	2.742112486775948	17.786735612805305	66.81438673391773	24	Sd
NGC5907	0.15572387137708196	4.3228102869566065	0.0063523357501300256	1.891556352201289	19	Sc
NGC5985	0.08714411098677341	4.324662102676285	0.08487287835103122	30.752388875561437	33	Sb
NGC6015	0.5158515836294877	2.6647447689189168	0.025082443803956096	5.178250672249895	44	Scd
NGC6195	1.172765949671248	2.4547088105591066	0.009608219684378196	3.1724421821507667	23	Sb
NGC6503	0.334673438280645	1.7877564657015794	0.029185197807288222	4.575528558237752	31	Scd
NGC6674	0.5384297504777483	3.507624149259079	0.013907225738061062	5.1072595668235765	15	Sb
NGC6789	0.10538654781608585	1.0436700395418765	0.0732730520804983	8.5924133864494	4	BCD
NGC6946	2.390263678834694	1.7316593575271193	0.059024858721007704	12.985721278590104	58	Scd
NGC7331	0.40283022118996376	2.6604629981363863	0.026437816484901507	8.663310234083877	36	Sb
NGC7793	0.5389286665985737	1.233106211860719	0.008287640361540708	1.0724321984897816	46	Sd
NGC7814	1.576370332917713	0.6438697833358289	0.012336132061469872	4.2886881649632	18	Sab
PGC51017	0.03525564783579757	0.2173803432542976	0.1649487619305468	4.211652271362262	6	BCD
UGC00128	0.21635068483476783	7.6580918261356015	20.839850348079345	94.60714813283828	22	Sdm
UGC00191	0.06737454939862492	1.973330341676613	0.07454414997928627	7.420422249083409	9	Sm
UGC00634	0.008562511275215574	6.19578324227191	69.47854511644398	52.59670707566226	4	Sm
