Galaxy Name	Radius	Total Mass Density	Visible Mass Density	Dark Matter Density
CamB	0.080000, 0.285000, 0.490000, 0.650000, 0.815000, 0.980000, 1.140000, 1.345000, 1.630000	8336309.918236, 7457618.902171, 8022151.788834, 10609007.332163, 10588843.005704, 12782819.252550, 13285372.580597, 10331210.866705, 9736765.011958	36885345.324190, 34363572.292912, 25691843.251026, 30521634.916696, 21562099.131089, 21656568.912282, 15864671.118532, 11234329.828085, 4206693.778973	-28549035.405954, -26905953.390741, -17669691.462192, -19912627.584533, -10973256.125385, -8873749.659732, -2579298.537935, -903118.961381, 5530071.232985
D512-2	0.480000, 1.440000, 2.400000, 3.355000	30664519.444109, 14368728.189943, 7482959.045904, 4341980.046363	13868290.737377, 6178115.399605, 2139119.974815, 1881803.528469	16796228.706732, 8190612.790339, 5343839.071089, 2460176.517894
D564-8	0.255000, 0.765000, 1.275000, 1.785000, 2.300000, 2.815000	15110646.774510, 11338830.778843, 8647771.472552, 6301961.426673, 5856176.644470, 4513195.767414	10875469.680048, 4567591.599080, 2335269.798899, 1569799.370713, 1008828.389178, 783150.877145	4235177.094462, 6771239.179764, 6312501.673653, 4732162.055960, 4847348.255292, 3730044.890269
D631-7	0.225000, 0.675000, 1.125000, 1.575000, 2.025000, 2.470000, 2.915000, 3.365000, 3.815000, 4.265000, 4.715000, 5.165000, 5.615000, 6.065000, 6.515000, 6.965000	18822383.965384, 21402075.222562, 20520168.352619, 16932565.878380, 15994690.373926, 16016628.191188, 15339913.080466, 14760181.527842, 14870145.398609, 14513749.317346, 14740042.148902, 13536392.845751, 13749873.040951, 11563295.290514, 11073525.101977, 9729299.639370	45336764.519070, 25715893.283091, 20353964.647972, 12768727.009796, 9549033.516247, 7370798.134636, 5585303.821867, 4540341.333301, 3678033.697509, 3021755.691052, 2541770.149974, 2113087.994210, 1818749.001791, 1537525.924314, 1346637.376716, 1152120.600688	-26514380.553686, -4313818.060529, 166203.704647, 4163838.868583, 6445656.857679, 8645830.056552, 9754609.258599, 10219840.194541, 11192111.701100, 11491993.626294, 12198271.998928, 11423304.851541, 11931124.039160, 10025769.366200, 9726887.725261, 8577179.038682
DDO064	0.050000, 0.200000, 0.395000, 0.590000, 0.790000, 0.990000, 1.190000, 1.385000, 1.580000, 1.780000, 1.980000, 2.175000, 2.320000, 2.675000	213210680.044539, 111938909.854627, 38784422.976790, 43029805.034740, 40396109.578745, 44135624.352985, 71135240.797558, 64138762.973345, 71097200.340972, 58090954.023003, 55550059.613228, 48721802.659778, 88865093.742223, 15946827.695661	27583563.528754, 27429417.586085, 19491152.480345, 26883771.049809, 14667990.589402, 19908163.372686, 17794719.073635, 24168495.743320, 20379957.391985, 21821626.435894, 18095587.483839, 18629129.604415, 29793094.050507, 5959929.669899	185627116.515785, 84509492.268543, 19293270.496445, 16146033.984931, 25728118.989343, 24227460.980299, 53340521.723923, 39970267.230026, 50717242.948988, 36269327.587110, 37454472.129389, 30092673.055363, 59071999.691716, 9986898.025761
DDO154	0.245000, 0.740000, 1.235000, 1.725000, 2.220000, 2.715000, 3.210000, 3.705000, 4.195000, 4.690000, 5.185000, 5.675000	42743853.946889, 23295241.646265, 20581724.705821, 17746617.565150, 15637176.881587, 15213372.347274, 13275445.013250, 12406633.344655, 11076708.944041, 10041182.490396, 8238799.618553, 7063934.682005	37151443.276353, 11602402.069865, 5681958.940784, 4556999.093645, 3066485.506020, 2989560.818627, 2475459.439026, 2117624.093987, 1661565.238998, 1390142.096674, 1117604.537717, 978200.052636	5592410.670536, 11692839.576400, 14899765.765037, 13189618.471505, 12570691.375567, 12223811.528647, 10799985.574224, 10289009.250668, 9415143.705043, 8651040.393722, 7121195.080836, 6085734.629369
DDO161	0.300000, 0.665000, 0.790000, 0.915000, 1.025000, 1.305000, 1.780000, 2.255000, 2.725000, 3.195000, 3.665000, 4.135000, 4.615000, 5.100000, 5.575000, 6.045000, 6.515000, 6.985000, 7.455000, 7.925000, 8.400000, 8.875000, 9.345000, 9.815000, 10.285000, 10.755000, 11.225000, 11.700000, 12.175000, 12.655000, 13.135000	38321731.970961, 14813230.309508, 59012816.643711, 23972450.965581, 65408956.541187, 20907901.855526, 14614036.510652, 13783130.366901, 12036256.366649, 12369096.523276, 10801192.980583, 11713253.799861, 10963662.310012, 11196476.681260, 10486574.847062, 10939132.836437, 10738333.989014, 10807748.428458, 9861852.393901, 10232492.297797, 9206824.066803, 9117333.183637, 9215586.156653, 8801025.729975, 9300036.874335, 7696186.725875, 8443939.553137, 6866197.524524, 7800583.623480, 6053263.368709, 7081325.538775	30690393.162314, 22653957.571053, 47635363.243993, 31598009.406006, 55430740.144673, 18655372.192343, 13191320.874303, 12682173.748531, 9823254.007254, 8845127.575607, 7480695.689774, 6744114.922439, 5629171.202820, 5184125.164762, 4656086.091534, 4409725.125897, 3972513.668571, 3857888.503021, 3601314.926416, 3534674.847575, 3198159.061344, 3222278.894557, 2897211.688091, 2833404.668664, 2426929.465726, 2349004.426524, 1984904.212704, 1890826.886311, 1627346.939307, 1552745.817130, 1334683.321178	7631338.808647, -7840727.261546, 11377453.399718, -7625558.440425, 9978216.396514, 2252529.663183, 1422715.636349, 1100956.618370, 2213002.359395, 3523968.947669, 3320497.290809, 4969138.877421, 5334491.107191, 6012351.516498, 5830488.755528, 6529407.710540, 6765820.320443, 6949859.925437, 6260537.467486, 6697817.450222, 6008665.005459, 5895054.289081, 6318374.468562, 5967621.061312, 6873107.408609, 5347182.299351, 6459035.340433, 4975370.638213, 6173236.684173, 4500517.551579, 5746642.217597
DDO168	0.205000, 0.615000, 1.030000, 1.440000, 1.850000, 2.265000, 2.680000, 3.095000, 3.505000, 3.915000	72131085.701587, 39849333.517882, 27855412.402627, 31172058.600897, 31600304.904864, 35473171.398191, 23309271.182080, 27346611.038283, 18649018.324403, 16865166.818853	56719557.930586, 36518823.752845, 18157997.631888, 13596709.523806, 11856480.097235, 8759065.700410, 7891621.930822, 6182236.523949, 5903848.522636, 4504428.247939	15411527.771001, 3330509.765037, 9697414.770739, 17575349.077092, 19743824.807629, 26714105.697781, 15417649.251258, 21164374.514335, 12745169.801767, 12360738.570915
DDO170	0.935000, 2.615000, 4.110000, 5.605000, 7.100000, 8.595000, 10.085000, 11.580000	11824532.778853, 7905933.463496, 6163014.263864, 4135654.568183, 3814418.153974, 2669128.296500, 2673048.815172, 2239431.937458	6260141.496210, 2255673.375120, 1878189.849084, 1335552.430279, 1170273.981498, 814163.879326, 656628.944418, 434585.255923	5564391.282644, 5650260.088376, 4284824.414780, 2800102.137904, 2644144.172475, 1854964.417174, 2016419.870754, 1804846.681535
ESO079-G014	0.205000, 0.695000, 1.380000, 2.235000, 3.025000, 3.875000, 5.020000, 5.995000, 6.615000, 7.615000, 9.190000, 10.845000, 12.505000, 14.210000, 15.865000	353358968.460964, 125875357.695831, 35943392.834692, 35700211.281127, 38718726.647007, 37416650.398874, 24549151.573618, 48368042.350884, 46601364.197544, 28822316.388945, 16397398.639211, 19435309.560452, 13676032.430752, 14003324.493163, 11526784.664614	270246838.621730, 117006114.607332, 57914121.426003, 40821885.561893, 36530429.409622, 24234896.495651, 15522585.660878, 22966726.258931, 28989499.933967, 15258802.465566, 12551459.670290, 11150613.533370, 9124451.362076, 7112430.885318, 6578054.247408	83112129.839235, 8869243.088500, -21970728.591311, -5121674.280766, 2188297.237385, 13181753.903223, 9026565.912740, 25401316.091953, 17611864.263577, 13563513.923379, 3845938.968920, 8284696.027082, 4551581.068676, 6890893.607845, 4948730.417205
